用户,评分,评论内容,评论时间,用户地址,cluster
j***k,5,酷睿Ultra，性能优越，开机速度极快，机器质感很好，带背光键盘，颜色也好看，日常使用和打普通游戏没有问题。,2025-02-13 07:52:09,陕西,0
B***丶,5,下单后不到一天就收到了，是全新未拆封产品，外观完美无瑕疵，酷睿Ultra 5和AI电脑，性能非常不错，32G+1TB使用绰绰有余，政府补贴性价比拉满。,2024-09-14 10:58:35,安徽,0
j***g,5,买的酷睿Ultra 处理器的版本，反应很快，性能很强，显示效果非常棒。酷睿Ultra  工作时很安静温度不高，适合长时间办公,2024-11-20 17:13:18,四川,0
狼***6,5,这个笔记本太赞了，酷睿Ultra 5的处理器很强大，32G+1T的存储量大管饱，又赶上政府补贴的活动，太开心了，终于买到心仪的电脑了，酷睿Ultra，牛的！,2024-09-13 20:51:03,山东,0
j***p,5,酷睿Ultra 系列价格实惠，非常适合学生党。这款电脑携带轻便，处理器性能出色，续航表现也令人满意。,2024-10-20 16:15:37,陕西,0
往***吧,5,酷睿Ultra，引领AI新潮流，颜值大方，家里上大学的妹妹非常喜欢，下次还会买！！！！！会推荐给同事/朋友/家人,2024-09-07 08:33:22,江苏,0
j***x,5,京东自营的电脑，质量上面有保障，酷睿Ultra，处理器，配置很高，非常好用！,2024-09-05 09:24:36,河南,0
j***f,5,联想小新pro14 酷睿Ultra 9是别人给推荐的，配置不错，颜值在线，用的也还可以，买的高配版，大内存的，充电也快。,2024-11-18 10:58:51,河南,0
布***森,5,刚买的&lsquo;酷睿UItra&rsquo;电脑看上去酷酷的，非常好看手感也很不错👍运行速度快，屏幕效果超赞外观外形颜色也很漂亮，散热功能也挺不错的,2025-02-03 22:22:03,安徽,0
j***7,5,送给老婆的新年礼物，酷睿Ultra，别说应付日常办公了，打游戏都绰绰有余，配合高刷屏，只能说，无敌了。配色也特别好看，我和老婆都喜欢这种低调的灰色。,2025-01-20 03:13:52,海外,0
-***n,5,&lsquo;酷睿Ultra&rsquo;到手之后发现触感很好，厚薄也是我满意的的程度，真的好好看，买的16寸的，确实不小,2025-02-09 13:15:55,辽宁,0
u***s,5,"酷睿ultra这款笔记本电脑太棒了!酷睿ultra9运行无压力,外观时尚简约，金属机身很有质感。屏幕显示效果超棒，色彩鲜艳且清晰。性能方面更是出色，多任务运行毫无压力，各种软件都能快速响应。散热做得很好，长时间使用也不会过热。键盘手感舒适，按键灵敏。电池续航能力也比较强，外出携带使用很方便。总之，这是一款非常值得购买的笔记本电脑。酷睿ultra",2025-02-04 16:35:36,重庆,0
j***v,5,超级喜欢，这个价格买到这个配置真的非常惊喜，运行很流畅，整体配置比较均衡，内置了&ldquo;酷睿Ultra&quot;新型芯片，性能完全不用担心。大键盘，手感非常好，续航能力持久稳定 总之非常满意,2025-01-24 13:27:22,江苏,0
三***瓜,5,酷睿Ultra&rsquo;收到了货.等了一天.收到很喜欢.就是喜欢有数字键盘的手提电脑.外观也是我喜欢.颜色很高大上😘😘酷睿Ultra&rsquo;,2025-02-13 19:40:16,广东,0
X***P,5,"酷睿Ultra 9-185H这款电脑用起来非常不错，运行流畅，打坦克世界中效稳定70帧+,屏幕非常清晰！整体做工也非常不错。如果充电器能换成黑的就好了，白色的不耐脏。总体感觉性价比不错。",2025-01-28 21:55:54,广东,0
昊***麻,5,小新Pro14真的太香啦！联想品质一如既往地靠谱，用起来超顺手。价格在同类型产品里优势明显，性价比拉满。搭载的 酷睿Ultra 处理器超给力，开机速度飞快，运行各种程序都丝滑流畅，一点不卡顿。而且它重量很轻，机身小巧，带着出门毫无负担，不管是女生日常使用，还是办公人士外出办公，都再合适不过，强烈推荐！客服响应速度很快，小杮子棒棒哒,2025-02-01 10:24:35,广东,0
国***5,5,&lsquo;酷睿Ultra&rsquo;买的16寸的，用来办公，这个配置完全超出我的预期，速度特别快，而且非常丝滑，颜值更没的说，视频清晰度也是相当哇塞了，太值得入手了,2025-02-04 13:18:50,辽宁,0
u***v,5,&nbsp;又一次选择了联想，小新的机器一代比一代强，用&lsquo;酷睿Ultra&rsquo;处理器就像坐上飞机，简直不要太爽。从上学到工作，带小键盘的16寸笔记本完美适配任何场景，办公也是一流，叠加国家补贴，值得入手！,2025-02-06 21:09:10,山西,0
a***7,5,酷睿Ultra 处理器非常好，小梓很好 非常快，核显跑分4000分，玩网游无压力，大多数单机也能玩，全金属做工也非常棒，最主要的还比游戏本便携，非常满意，复合我的要求。,2025-01-23 07:22:07,广东,0
h***4,5,联想小新pro16新款不错，速度很快，特别是最新的 酷睿Ultra 5  cpu与7476M的32G内存很超出预料，预装的正版win11家庭版系统与microsoft365很不错，85wh的电池用四个小时没问题。可以运行cad与sw，学生使用很不错。,2025-01-31 21:56:46,四川,0
A***恙,5,这款笔记本电脑整体配置比较均衡，散热，内存，外观都很满意，性价比超高！&ldquo;酷睿Ultra&rdquo;新兴芯片很给力，16寸观感很强，整体重量不超过2公斤，轻巧方便，适合上班族和学生，推荐！,2025-02-06 21:37:13,山东,0
q***7,5,这款电脑性能好，处理器也好，'酷睿Ultra'的核心，比原来的电脑不知道要好到哪去了，质感非常高端，整个颜色搭配也好，京东送货第二天就送到了。14寸的屏幕大小合适，这款笔记本电脑处理器是它最主要特色。,2025-01-23 20:15:12,江西,0
z***8,5,机器的整体配置比较均衡，内置了&ldquo;酷睿 Ultra&rdquo;新型芯片，性能不错。外观上全金属机身，很有时尚气质。拥有高刷屏幕，最重要的是16寸大机器。联想服务也不错,2025-01-20 14:12:35,上海,0
8***3,5,买的这个联想小新pro16 酷睿Ultra 处理器的做工精美 屏幕清晰度高 运行速度特别快 金属材质 手感很好,2025-01-23 11:34:02,山东,0
p***g,5,"酷睿Ultra
今天终于到货啦！📦 首先，它的做工非常精细，金属机身摸起来手感超棒！👌 运行速度也很快，日常办公应用完全不在话下。💼 标配的Win11系统。📊 特别要夸一下它的音响效果，简直是太棒了！🎶 总的来说，这款电脑的综合性能非常出色，希望它能耐用持久！🌟",2025-02-10 11:28:03,四川,0
j***d,5,爱了爱了，这款机器外形美观，整体配置比较均衡，内置了&ldquo;酷睿UⅠtra＂新型芯片，性能上应该三年之内都不用担心，外观上全金属机身，很有时尚气质，貌似商务机又不失灵动，拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合适，杜比音响效果认证，最重要的是16寸的大屏，整机质量能控制在两公斤以内，水平是优秀的👍👍👍,2025-02-09 21:39:14,内蒙古,0
j***n,5,联想新款的小新笔记本质感真的很棒。配置也很高，酷睿Ultra，大内存和大硬盘，用起来很丝滑。高分辨率屏幕真的很棒，电池续航也很好,2025-02-11 21:21:15,四川,0
Q***I,5,联想电脑使用很多年了，最近正好有更换电脑的想法。赶上国家补贴的优惠，&rsquo;酷睿Ultra&rsquo;这款电脑不仅轻巧便捷，屏幕清晰，分辨率很高，内存很大，而且还搭载了AI智能，使用起来非常方便。,2025-02-09 22:31:23,北京,0
h***4,5,送貨上門是網購的首要因素。國補給力！以前的13.3小新使用時間蠻久，該換新了。酷睿Ultra，非常棒，AI充滿期待。,2025-01-17 13:34:13,广东,0
j***r,5,&lsquo;酷睿Ultra&rsquo;电脑挺好的，不紧轻薄 ，运行很快，玩游戏也挺流畅的 孩子很喜欢,2025-02-12 21:11:20,江苏,0
长***正,5,真心不错？家里原来有联想小新已经六年了，感觉配置跟不上软件的膨胀速度，所以就选择了这款有&ldquo;酷睿Ultra&rdquo;的小新14pro，酷睿U9，32G大内存，全金属机身，杜比音效，打开软件速度快！又能战斗几年了！,2025-02-05 13:51:15,四川,0
f***i,5,联想&lsquo;酷睿Ultra&rsquo;外观时尚大方，性能强劲，办公非常适合，JD物流快，上午下单，下午到，点赞！,2025-02-13 16:59:42,湖北,0
T***h,5,&lsquo;酷睿Ultra&rsquo;系列处理器，非常不错，运行流畅不卡顿，刷新率120Hz，电脑颜值很高，屏幕色彩鲜艳。另外客服小姐姐也很热心，教了怎么使用国补。值得一买！,2025-01-27 23:11:53,浙江,0
牛***牛,5,"酷睿Ultra，联想小新
今天刚收到，第一时间试了下，整体感觉很不错，清晰度，反应都很快，用一段时间看看",2025-02-08 21:18:55,江苏,0
j***G,5,我最早接触的品牌电脑就是联想，家里很多电子产品也买了联想的，一直质量很好，售后也好，这次原来的笔记本配置跟不上了换了一个，看了下介绍，这款笔记本很适合工作学习和休闲娱乐，而且是用的新处理器&lsquo;酷睿Ultra&rsquo;，据说这款处理器性能不错，同比完胜，笔记本颜色好看，布局合理，屏幕艳丽，不卡顿速度快而且很轻带着不沉很方便，这配置用几年应该不落后，性价比很高。,2025-02-07 11:42:44,黑龙江,0
荔***物,5,"#酷睿Ultra
快递速度非常快！昨天下单，今天就收到了！
外观很不错！好看大方！现在开机，马上准备使用！期待！",2025-02-07 11:20:52,广东,0
e***8,5,这款电脑性能不错，处理器很好，'酷睿Ultra'的核心的电脑质感非常好，整个颜色搭配也比较好，已经多次购买了，京东送货也比较给力。16寸的屏幕用起来正好，相对来讲处理器选的比较高端一点的。客服方面，小文客服服务很不错。,2025-02-09 12:18:12,浙江,0
j***u,5,买了第二天上午就送到了 打开后感觉质感很不错。我们之前一台笔记本就是小新 果断又入了小新。相信&rdquo;酷睿Ultra &ldquo; 很轻薄 很不错 👍 很喜欢💕,2025-01-24 10:23:19,江苏,0
j***m,5,选了好多天的电脑，最后还是选择了这款联想小新pro16 酷睿Ultra，官方店铺值得信任。电脑轻薄，办公携带方便。电池续航能力也很好，能够满足长时间的使用需求。屏幕惊艳，性能均衡，是一款性价比超高的轻薄本，值得推荐。,2025-02-09 11:27:53,江苏,0
想***猫,5,搭载&lsquo;酷睿Ultra&rsquo;处理器，很快很好，一直买的都是联想的电脑，小新 Pro 性价比很高，还有政府补贴可以用。,2025-01-26 12:27:59,安徽,0
玄***唱,5,"第一天晚上下单，第二天傍晚收到，这是我的第二台小新，酷睿Ultra 版本，非常好用，超薄，精致。
单位放旧版小新，家里用新版小新，完美！
五星推荐！",2025-01-23 18:03:15,江苏,0
j***e,5,首先，电脑外观简约耐看，触感很丝滑，电脑拿在手上也很有质感和科技感。其次，&lsquo;酷睿Ultra&rsquo;处理器还是不错，电脑运行很快，用上新电脑，感觉就是不一样。最后，上一个电脑是联想的，用了十多年，这次依旧买了个联想，希望也很不错，而且客服小毅服务态度很好，解答速度很。,2025-01-17 08:43:54,重庆,0
歪***哦,5,"首先，从产品的硬件配置来看，这款电脑&ldquo;酷睿Ultra&rdquo;配备了高性能的处理器和大容量的内存，使得我在进行多任务处理时能够轻松应对，无论是办公还是娱乐，都能提供流畅的体验。屏幕的显示效果也非常出色，色彩鲜艳且清晰度高，对于长时间工作或娱乐的用户来说，保护眼睛的视觉体验是相当重要的。 
其次，从产品的外观设计来看，这款电脑采用了轻薄的设计理念，使得它既美观又便于携带。金属质感的机身不仅增加了整体的质感，还提高了产品的耐用性。同时，其键盘设计舒适，按键反应灵敏，让我在打字时感到非常舒适。 在购买过程中，京东的商家服务也让我感到满意。商家的发货速度快，包装严密，商品保护得很好。在遇到问题时，商家的客服也提供了及时的帮助和解答。",2025-01-23 17:24:05,江苏,0
x***x,5,"#酷睿Ultra 国补上车小新pro14 AI版，隔天到货，赞！关键字：&lsquo;酷睿Ultra&rsquo;
刚开始担心重量问题，没想到还是很轻的，这点我很满意，酷睿ultra处理器在视频剪辑、日常办公以及高清视频播放等应用场景中表现出色，不到一小时就配置好新电脑了。",2025-02-13 13:16:15,浙江,0
四***意,5,这次买的是小新Pro14笔记本确实不错， 而且这款搭载的是最新的英特尔&lsquo;酷睿Ultra&rsquo;处理器的，也是第一次用 ai 笔记本，整体做工和体验都很不错，颜色也喜欢，接口丰富，重量轻薄，十分满意，vvc很不错。,2025-01-22 10:25:10,北京,0
j***1,5,家里的老电脑春节期间掉链子，经常开不了机，网上选购，第一眼就看到这款小新Pro14，酷睿Ultra 果然很强大，各种应用秒开，触控板缩放文件页面相当丝滑，妈妈再也不用担心我的电脑卡机了🤓,2025-02-12 08:54:00,江苏,0
黄***爹,5,联想小新Pro14 2024款是一款高性能、轻薄便携的优秀笔记本电脑。凭借其强大的&quot;酷睿Ultra 5&quot;处理器、出色的屏幕、长效的续航能力和丰富多样的接口，再结合其实惠的价格，是非常值得推荐的一款产品。特别是对于追求高性能和便携性的用户，联想小新Pro14 2024款无疑是一个理想的选择。,2025-01-31 21:47:38,安徽,0
9***g,5,这次购物体验非常好，这款联想笔记本电脑使用了&ldquo;酷睿Ultra&rdquo;处理器，开机速度快，软件运行非常顺畅，重量轻，非常适用办公，学习。,2025-02-13 19:20:49,浙江,0
这***-,5,下单不到一天就到货了，产品全新未拆封，外观毫无瑕疵。酷睿Ultra 5的AI电脑性能超棒，32G内存加上1TB的存储，使用起来非常充裕。有政府补贴，性价比超高。,2025-01-18 19:13:07,辽宁,0
8***t,5,刚刚入手了联想小新16pro搭载酷睿Ultra处理器的笔记本，性能真的太强大了！无论是日常办公还是游戏娱乐，都能轻松应对，运行速度飞快，散热效果也很棒。超薄机身设计，携带方便，颜值在线，绝对是性价比之选！推荐给需要高性能笔记本的朋友们！＃酷睿Ultra ＃高性能笔记本＃性价比之选,2025-02-12 19:08:33,江苏,0
长***8,5,酷睿Ultra AI处理器非常好，配置也高，参加国补特别划算，买了几台联想的笔记本了，以前买的拯救者玩游戏很合适，办公重了点，这个小新16寸非常适合办公，配置好，接口丰富,2025-02-02 09:58:54,浙江,0
p***5,5,&ldquo;酷睿Ultra*名不虚传，速度很快，比之前买的小新老版本感觉速度快多了。开机后迫不及待重点观察了下风扇噪音，这点联想做得不错，风扇噪音很小，不是像有的笔记本同时运行几个程序风扇狂转的声音吓死人，完全失去了笔记本的意义，这也是我买笔记本最看重的，安静才能用得舒心，赞一个，好评。,2025-02-02 15:18:52,广东,0
q***n,5,"电脑包装完好，到货时间很快。拆开包装，电脑外观没有任何问题。打开后显示清晰，运行很快。非常满意。特别是还装了最新的&lsquo;酷睿Ultra&rsquo;
处理器。节能，功耗低，性能还特别好。",2025-02-06 12:49:28,山东,0
流***8,5,电脑还是不错的，灰色机身，'酷睿Ultra'的核心，比前面买的几款电脑要好，质感非常好，整个颜色搭配也比较好，京东送货也比较给力。16寸的屏幕用起来正好..用的比较顺手,2025-02-13 19:14:34,浙江,0
婷***呀,5,这台笔记本性能强悍，使用了&lsquo;酷睿Ultra&rsquo;最新技术，体验感直接拉满，超长的续航让我出差也不需要带充电器了！太棒了,2025-02-09 20:25:54,浙江,0
詹***嘿,5,对比了好几个牌子，最后买了小新pro14，特别是&lsquo;酷睿Ultra &lsquo;处理器很满意，电脑重量也不重，结合国补买下来很划算！第二天就到了，必须好评！,2025-02-11 08:35:23,浙江,0
j***q,5,这款电脑真的非常不错！💻充电速度也很快，插头设计简洁大方👍。整体使用体验很棒，酷睿Ultra，国家补贴，价格实惠，推荐给需要高效率办公的小伙伴们！🚀,2025-02-11 20:21:12,广东,0
c***e,5,这款电脑不错  特别是搭载了 &lsquo;酷睿Ultra&rsquo;处理器  运行流畅  ，屏幕很清晰  开机速度快  颜值很高 果然联想大品牌  产品不错,2025-01-23 15:59:41,河南,0
B***z,5,联想小新16pro   酷睿ultra   版本屏幕效果显示清晰，颜色饱满，运行速度很快，也很流畅，散热性能非常好，外形外观完整无磕碰。,2025-01-29 19:54:06,天津,0
